step,k,minCalibratedJointProbability,maxLegs,maxCombinedOdds,capMin,capMax,recencyWeighting,nLeagueMin,includeConf,trainCoupons,trainHitRate,trainRoi,testCoupons,testHitRate,testRoi,testMaxDrawdown,verdict
1,20,0.45,3,6,0.15,0.8,"flat",15,true,728,0.4642857142857143,1.0640847527472541,85,0.4823529411764706,0.39631882352941195,6,"PASS"
1,20,0.45,3,6,0.15,0.85,"flat",15,true,728,0.4642857142857143,1.0640847527472541,85,0.4823529411764706,0.39631882352941195,6,"PASS"
1,20,0.45,3,6,0.15,0.9,"flat",15,true,728,0.4642857142857143,1.0640847527472541,85,0.4823529411764706,0.39631882352941195,6,"PASS"
1,50,0.25,3,6,0.05,0.8,"flat",15,true,1333,0.46136534133533386,0.9994642910727622,99,0.5050505050505051,0.5870151515151515,9,"PASS"
1,50,0.25,3,6,0.05,0.85,"flat",15,true,1333,0.46136534133533386,0.9994642910727622,99,0.5050505050505051,0.5870151515151515,9,"PASS"
1,50,0.25,3,6,0.05,0.9,"flat",15,true,1333,0.46136534133533386,0.9994642910727622,99,0.5050505050505051,0.5870151515151515,9,"PASS"
1,50,0.25,3,6,0.1,0.8,"flat",15,true,1333,0.46136534133533386,0.9994642910727622,99,0.5050505050505051,0.5870151515151515,9,"PASS"
1,50,0.25,3,6,0.1,0.85,"flat",15,true,1333,0.46136534133533386,0.9994642910727622,99,0.5050505050505051,0.5870151515151515,9,"PASS"
1,50,0.25,3,6,0.1,0.9,"flat",15,true,1333,0.46136534133533386,0.9994642910727622,99,0.5050505050505051,0.5870151515151515,9,"PASS"
1,50,0.25,3,6,0.15,0.8,"flat",15,true,1333,0.46136534133533386,0.9994642910727622,99,0.5050505050505051,0.5870151515151515,9,"PASS"
1,50,0.25,3,6,0.15,0.85,"flat",15,true,1333,0.46136534133533386,0.9994642910727622,99,0.5050505050505051,0.5870151515151515,9,"PASS"
1,50,0.25,3,6,0.15,0.9,"flat",15,true,1333,0.46136534133533386,0.9994642910727622,99,0.5050505050505051,0.5870151515151515,9,"PASS"
1,50,0.3,3,6,0.05,0.8,"flat",15,true,1307,0.4628921193573068,1.0024796480489628,97,0.4948453608247423,0.5203041237113402,9,"PASS"
1,50,0.3,3,6,0.05,0.85,"flat",15,true,1307,0.4628921193573068,1.0024796480489628,97,0.4948453608247423,0.5203041237113402,9,"PASS"
1,50,0.3,3,6,0.05,0.9,"flat",15,true,1307,0.4628921193573068,1.0024796480489628,97,0.4948453608247423,0.5203041237113402,9,"PASS"
1,50,0.3,3,6,0.1,0.8,"flat",15,true,1307,0.4628921193573068,1.0024796480489628,97,0.4948453608247423,0.5203041237113402,9,"PASS"
1,50,0.3,3,6,0.1,0.85,"flat",15,true,1307,0.4628921193573068,1.0024796480489628,97,0.4948453608247423,0.5203041237113402,9,"PASS"
1,50,0.3,3,6,0.1,0.9,"flat",15,true,1307,0.4628921193573068,1.0024796480489628,97,0.4948453608247423,0.5203041237113402,9,"PASS"
1,50,0.3,3,6,0.15,0.8,"flat",15,true,1307,0.4628921193573068,1.0024796480489628,97,0.4948453608247423,0.5203041237113402,9,"PASS"
1,50,0.3,3,6,0.15,0.85,"flat",15,true,1307,0.4628921193573068,1.0024796480489628,97,0.4948453608247423,0.5203041237113402,9,"PASS"
1,50,0.3,3,6,0.15,0.9,"flat",15,true,1307,0.4628921193573068,1.0024796480489628,97,0.4948453608247423,0.5203041237113402,9,"PASS"
1,50,0.35,3,6,0.05,0.8,"flat",15,true,1266,0.46524486571879936,1.010530331753551,97,0.4948453608247423,0.5203041237113402,9,"PASS"
1,50,0.35,3,6,0.05,0.85,"flat",15,true,1266,0.46524486571879936,1.010530331753551,97,0.4948453608247423,0.5203041237113402,9,"PASS"
1,50,0.35,3,6,0.05,0.9,"flat",15,true,1266,0.46524486571879936,1.010530331753551,97,0.4948453608247423,0.5203041237113402,9,"PASS"
1,50,0.35,3,6,0.1,0.8,"flat",15,true,1266,0.46524486571879936,1.010530331753551,97,0.4948453608247423,0.5203041237113402,9,"PASS"
1,50,0.35,3,6,0.1,0.85,"flat",15,true,1266,0.46524486571879936,1.010530331753551,97,0.4948453608247423,0.5203041237113402,9,"PASS"
1,50,0.35,3,6,0.1,0.9,"flat",15,true,1266,0.46524486571879936,1.010530331753551,97,0.4948453608247423,0.5203041237113402,9,"PASS"
